iter	Passed	Remaining
826	241599	50540
827	241863	50242
828	242109	49940
829	242355	49639
830	242604	49338
831	242854	49037
832	243114	48739
833	243361	48438
834	243608	48138
835	243870	47840
836	244119	47540
837	244366	47240
838	244623	46942
839	244874	46642
840	245127	46343
841	245372	46043
842	245628	45745
843	245880	45447
844	246129	45148
845	246381	44849
846	246638	44552
847	246893	44254
848	247154	43957
849	247450	43667
850	247703	43369
851	247961	43073
852	248209	42774
853	248460	42476
854	248707	42178
855	248976	41883
856	249231	41587
857	249489	41290
858	249738	40993
859	249985	40695
860	250231	40397
861	250485	40101
862	250745	39805
863	250996	39508
864	251259	39213
865	251499	38915
866	251744	38618
867	251993	38321
868	252242	38025
869	252491	37728
870	252752	37434
871	253012	37139
872	253265	36843
873	253537	36551
874	253795	36256
875	254055	35962
876	254312	35667
877	254568	35372
878	254813	35076
879	255058	34780
880	255313	34486
881	255568	34191
882	255822	33897
883	256073	33602
884	256323	33307
885	256574	33012
886	256832	32719
887	257085	32425
888	257323	32129
889	257571	31834
890	257829	31541
891	258070	31246
892	258329	30953
893	258587	30660
894	258833	30365
895	259083	30072
896	259340	29779
897	259588	29485
898	259845	29192
899	260089	28898
900	260340	28605
901	260587	28312
902	260841	28019
903	261081	27725
904	261327	27432
905	261568	27138
906	261815	26845
907	262065	26552
908	262328	26261
909	262589	25970
910	262845	25678
911	263093	25386
912	263340	25093
913	263589	24801
914	263846	24510
915	264104	24219
916	264356	23927
917	264612	23636
918	264882	23346
919	265136	23055
920	265384	22763
921	265630	22472
922	265879	22180
923	266139	21890
924	266376	21598
925	266639	21308
926	266894	21017
927	267140	20726
928	267381	20434
929	267630	20144
930	267885	19854
931	268136	19563
932	268383	19272
933	268627	18982
934	268874	18691
935	269121	18401
936	269375	18111
937	269634	17822
938	269885	17532
939	270130	17242
940	270382	16952
941	270640	16663
942	270893	16374
943	271140	16084
944	271393	15795
945	271645	15506
946	271898	15217
947	272150	14928
948	272391	14638
949	272655	14350
950	272913	14061
951	273162	13772
952	273402	13483
953	273657	13195
954	273915	12907
955	274170	12618
956	274439	12331
957	274688	12042
958	274923	11753
959	275176	11465
960	275424	11177
961	275672	10889
962	275925	10601
963	276176	10313
964	276422	10025
965	276666	9737
966	276913	9450
967	277161	9162
968	277428	8875
969	277675	8587
970	277937	8300
971	278210	8014
972	278488	7727
973	278751	7441
974	279055	7155
975	279323	6868
976	279607	6582
977	279903	6296
978	280173	6009
979	280500	5724
980	280773	5438
981	281050	5151
982	281301	4864
983	281559	4578
984	281823	4291
985	282140	4006
986	282388	3719
987	282665	3433
988	282906	3146
989	283185	2860
990	283431	2574
991	283713	2288
992	283964	2001
993	284226	1715
994	284473	1429
995	284743	1143
996	284994	857
997	285260	571
998	285501	285
999	285772	0
